,id,job_title,location,connection,fit
76,77,"human resources
conflict management
policies & procedurestalent managementbenefits & compensation",dallas/fort worth area,409,
77,78,human resources generalist at schwan's,amerika birleşik devletleri,500+ ,
78,79,liberal arts major aspiring human resources analyst,baton rouge louisiana area,7,
79,80,junior mes engineer information systems,myrtle beach south carolina area,52,
80,81,senior human resources business partner at heil environmental,chattanooga tennessee area,455,
81,82,aspiring human resources professional  an energetic and team-focused leader,austin texas area,174,
82,83,hr manager at endemol shine north america,los angeles california,268,
83,84,human resources professional for the world leader in gis software,highland california,50,
84,85,rrp brand portfolio executive at jti japan tobacco international,greater philadelphia area,500+ ,
85,86,information systems specialist and programmer with a love for data and organization,gaithersburg maryland,4,
86,87,bachelor of science in biology from victoria university of wellington,baltimore maryland,40,
87,88,human resources management major,milpitas california,18,
88,89,director human resources  at ey,greater atlanta area,349,
89,90,undergraduate research assistant at styczynski lab,greater atlanta area,155,
90,91,lead official at western illinois university,greater chicago area,39,
91,92,seeking employment opportunities within customer service or patient care,torrance california,64,
92,93,admissions representative at community medical center long beach,long beach california,9,
93,94,seeking human  resources opportunities open to travel and relocation,amerika birleşik devletleri,415,
94,95,student at westfield state university,bridgewater massachusetts,57,
95,96,"student at indiana university kokomo - business management - 
retail manager at delphi hardware and paint",lafayette indiana,19,
96,97,aspiring human resources professional,kokomo indiana area,71,
97,98,student,houston texas area,4,
98,99,seeking human resources position,las vegas nevada area,48,
99,100,aspiring human resources manager  graduating may 2020  seeking an entry-level human resources position in st louis,cape girardeau missouri,103,
100,101,human resources generalist at loparex,raleigh-durham north carolina area,500+ ,
101,102,business intelligence and analytics at travelers,greater new york city area,49,
102,103,always set them up for success,greater los angeles area,500+ ,
103,104,director of administration at excellence logging,katy texas,500+ ,
